2023-09-12^10:20:47:759^INFO^                 mon^0174^no topic for data
2023-09-12^10:20:47:759^INFO^              handle^0142^b"{'this_is_test': 7}"
2023-09-12^10:20:47:759^INFO^                 pub^0128^PUB[MYDATA], ^{'this_is_test': 7}^19 r[15]w[15]
2023-09-12^10:20:47:804^INFO^                 mon^0171^[<class 'list'>]
2023-09-12^10:20:47:804^INFO^                 mon^0172^mon data for topic[MYDATA]
2023-09-12^10:20:47:805^INFO^                 mon^0174^no topic for data
2023-09-12^10:20:47:805^INFO^              handle^0142^b"{'this_is_test': 5}"
2023-09-12^10:20:47:805^INFO^                 pub^0128^PUB[MYDATA], ^{'this_is_test': 5}^19 r[16]w[16]
2023-09-12^10:20:48:758^INFO^                 mon^0171^[<class 'list'>]
2023-09-12^10:20:48:759^INFO^                 mon^0172^mon data for topic[MYDATA]
2023-09-12^10:20:48:759^INFO^                 mon^0174^no topic for data
2023-09-12^10:20:48:759^INFO^              handle^0142^b"{'this_is_test': 8}"
2023-09-12^10:20:48:759^INFO^                 pub^0128^PUB[MYDATA], ^{'this_is_test': 8}^19 r[17]w[17]
2023-09-12^10:20:48:806^INFO^                 mon^0171^[<class 'list'>]
2023-09-12^10:20:48:806^INFO^                 mon^0172^mon data for topic[MYDATA]
2023-09-12^10:20:48:806^INFO^                 mon^0174^no topic for data
2023-09-12^10:20:48:806^INFO^              handle^0142^b"{'this_is_test': 6}"
2023-09-12^10:20:48:806^INFO^                 pub^0128^PUB[MYDATA], ^{'this_is_test': 6}^19 r[18]w[18]
2023-09-12^10:20:49:759^INFO^                 mon^0171^[<class 'list'>]
2023-09-12^10:20:49:759^INFO^                 mon^0172^mon data for topic[MYDATA]
2023-09-12^10:20:49:759^INFO^                 mon^0174^no topic for data
2023-09-12^10:20:49:759^INFO^              handle^0142^b"{'this_is_test': 9}"
2023-09-12^10:20:49:759^INFO^                 pub^0128^PUB[MYDATA], ^{'this_is_test': 9}^19 r[19]w[19]
2023-09-12^10:20:49:806^INFO^                 mon^0171^[<class 'list'>]
2023-09-12^10:20:49:806^INFO^                 mon^0172^mon data for topic[MYDATA]
2023-09-12^10:20:49:806^INFO^                 mon^0174^no topic for data
2023-09-12^10:20:49:806^INFO^              handle^0142^b"{'this_is_test': 7}"
2023-09-12^10:20:49:806^INFO^                 pub^0128^PUB[MYDATA], ^{'this_is_test': 7}^19 r[20]w[20]
2023-09-12^10:20:50:760^INFO^                 mon^0171^[<class 'list'>]
2023-09-12^10:20:50:761^INFO^                 mon^0172^mon data for topic[MYDATA]
2023-09-12^10:20:50:761^INFO^                 mon^0174^no topic for data
2023-09-12^10:20:50:762^INFO^              handle^0142^b"{'this_is_test': 10}"
2023-09-12^10:20:50:762^INFO^                 pub^0128^PUB[MYDATA], ^{'this_is_test': 10}^20 r[21]w[21]
2023-09-12^10:20:50:807^INFO^                 mon^0171^[<class 'list'>]
2023-09-12^10:20:50:808^INFO^                 mon^0172^mon data for topic[MYDATA]
2023-09-12^10:20:50:809^INFO^                 mon^0174^no topic for data
2023-09-12^10:20:50:809^INFO^              handle^0142^b"{'this_is_test': 8}"
2023-09-12^10:20:50:810^INFO^                 pub^0128^PUB[MYDATA], ^{'this_is_test': 8}^19 r[22]w[22]
2023-09-12^10:20:51:760^INFO^                 mon^0171^[<class 'list'>]
2023-09-12^10:20:51:760^INFO^                 mon^0172^mon data for topic[MYDATA]
2023-09-12^10:20:51:761^INFO^                 mon^0174^no topic for data
2023-09-12^10:20:51:761^INFO^              handle^0142^b"{'this_is_test': 11}"
2023-09-12^10:20:51:761^INFO^                 pub^0128^PUB[MYDATA], ^{'this_is_test': 11}^20 r[23]w[23]
2023-09-12^10:20:51:808^INFO^                 mon^0171^[<class 'list'>]
2023-09-12^10:20:51:808^INFO^                 mon^0172^mon data for topic[MYDATA]
2023-09-12^10:20:51:808^INFO^                 mon^0174^no topic for data
2023-09-12^10:20:51:808^INFO^              handle^0142^b"{'this_is_test': 9}"
2023-09-12^10:20:51:808^INFO^                 pub^0128^PUB[MYDATA], ^{'this_is_test': 9}^19 r[24]w[24]
2023-09-12^10:20:52:677^INFO^         error_stack^0219^#Error<class 'Exception'>conn
2023-09-12^10:20:52:678^INFO^         error_stack^0222^  File "/usr/local/lib/python3.11/dist-packages/gandan/Gandan.py", line 46, in handler
    h = GandanMsg.recv(None, _req)
        ^^^^^^^^^^^^^^^^^^^^^^^^^^
